"","s.cushion","s.open","index","stat","p.value"
"Festuca_magellanica",1,0,1,0.146572581840743,0.001
"Festuca_ovina",1,0,1,0.154640145856282,0.001
"Festuca_quadriflora",1,0,1,0.0893924008836278,0.001
"Festuca_sp",1,1,3,0.0786697215034681,NA
"Festuca_sp1",1,0,1,0.0127619140222539,1
"Festuca_sp2",1,0,1,0.0728162601704076,0.001
"Festuca_sp3",1,0,1,0.0947626082145256,0.001
"Festuca_sp4",1,0,1,0.051356904778971,0.027
"Festuca_sp5",1,1,3,0.129204531944195,NA
"Festuca_sp6",1,0,1,0.0240640958561478,0.242
"Festuca_sp7",0,1,2,0.0617505059555258,0.001
"Festuca_sp8",1,0,1,0.131429568828516,0.001
"Festuca_sp9",1,0,1,0.0755482111830975,0.001
"Festuca_versicolor",1,1,3,0.134151938752333,NA
"Festuca_violacea",1,0,1,0.107571123184162,0.001
"Filago_arvensis",1,0,1,0.0127619140222539,1
"Floscaldasia_hypsophila",1,0,1,0.0127619140222539,1
"Fritillaria_pudica",1,0,1,0.0310328277330779,0.149
"Gaillardia_aristata",1,0,1,0.0270721078381663,0.109
"Galium_anisophyllon",1,1,3,0.0980261216267003,NA
"Galium_boreale",1,0,1,0.0539173308053286,0.001
"Galium_decumbens",1,0,1,0.0127619140222539,1
"Galium_gilliesii",1,1,3,0.0337648507560718,NA
"Galium_megalospermum",1,1,3,0.0510476560890156,NA
"Galium_pyrenaicum",1,0,1,0.11601513874735,0.001
"Galium_sp",1,0,1,0.0477265139178967,0.014
"Galium_sp1",1,0,1,0.0656792205654555,0.002
"Gamocarpa_selliana",1,1,3,0.0423264804185915,NA
"Gaultheria_depressa",1,0,1,0.0388039485105712,0.025
"Gaultheria_nubicola",1,1,3,0.0822128801023485,NA
"Gaultheria_pumila",1,0,1,0.0719427263882754,0.001
"Gayophytum_humile",0,1,2,0.0638095701112695,0.001
"Gayophytum_micranthum",1,0,1,0.0578135665633832,0.001
"Gentiana_algida",1,0,1,0.0221042834883694,0.273
